"","State","Year","Event","Value"
"2319","MA",1996,"Fatalities",2
"2320","MD",1996,"Fatalities",6
"2321","ME",1996,"Fatalities",1
"2322","MI",1996,"Fatalities",7
"2323","MN",1996,"Fatalities",6
"2324","MO",1996,"Fatalities",14
"2325","MS",1996,"Fatalities",5
"2326","MT",1996,"Fatalities",9
"2327","NC",1996,"Fatalities",29
"2328","ND",1996,"Fatalities",7
"2329","NE",1996,"Fatalities",6
"2330","NH",1996,"Fatalities",6
"2331","NJ",1996,"Fatalities",9
"2332","NM",1996,"Fatalities",9
"2333","NV",1996,"Fatalities",1
"2334","NY",1996,"Fatalities",23
"2335","OH",1996,"Fatalities",17
"2336","OK",1996,"Fatalities",16
"2337","OR",1996,"Fatalities",15
"2338","PA",1996,"Fatalities",37
"2339","RI",1996,"Fatalities",0
"2340","SC",1996,"Fatalities",19
"2341","SD",1996,"Fatalities",10
"2342","TN",1996,"Fatalities",3
"2343","TX",1996,"Fatalities",33
"2344","UT",1996,"Fatalities",4
"2345","VA",1996,"Fatalities",16
"2346","VT",1996,"Fatalities",4
"2347","WA",1996,"Fatalities",13
"2348","WI",1996,"Fatalities",13
"2349","WV",1996,"Fatalities",12
"2350","WY",1996,"Fatalities",1
"2351","AK",1997,"Fatalities",0
"2352","AL",1997,"Fatalities",3
"2353","AR",1997,"Fatalities",31
"2354","AZ",1997,"Fatalities",26
"2355","CA",1997,"Fatalities",43
"2356","CO",1997,"Fatalities",30
"2357","CT",1997,"Fatalities",6
"2358","DE",1997,"Fatalities",0
"2359","FL",1997,"Fatalities",20
"2360","GA",1997,"Fatalities",2
"2361","HI",1997,"Fatalities",6
"2362","IA",1997,"Fatalities",2
"2363","ID",1997,"Fatalities",3
"2364","IL",1997,"Fatalities",46
"2365","IN",1997,"Fatalities",1
"2366","KS",1997,"Fatalities",10
"2367","KY",1997,"Fatalities",21
"2368","LA",1997,"Fatalities",6
"2369","MA",1997,"Fatalities",1
"2370","MD",1997,"Fatalities",5
"2371","ME",1997,"Fatalities",0
"2372","MI",1997,"Fatalities",9
"2373","MN",1997,"Fatalities",4
"2374","MO",1997,"Fatalities",9
"2375","MS",1997,"Fatalities",2
"2376","MT",1997,"Fatalities",3
"2377","NC",1997,"Fatalities",9
"2378","ND",1997,"Fatalities",16
"2379","NE",1997,"Fatalities",4
"2380","NH",1997,"Fatalities",0
"2381","NJ",1997,"Fatalities",7
"2382","NM",1997,"Fatalities",14
"2383","NV",1997,"Fatalities",3
"2384","NY",1997,"Fatalities",19
"2385","OH",1997,"Fatalities",13
"2386","OK",1997,"Fatalities",6
"2387","OR",1997,"Fatalities",2
"2388","PA",1997,"Fatalities",49
"2389","RI",1997,"Fatalities",0
"2390","SC",1997,"Fatalities",4
"2391","SD",1997,"Fatalities",5
"2392","TN",1997,"Fatalities",6
"2393","TX",1997,"Fatalities",67
"2394","UT",1997,"Fatalities",13
"2395","VA",1997,"Fatalities",2
"2396","VT",1997,"Fatalities",2
"2397","WA",1997,"Fatalities",26
"2398","WI",1997,"Fatalities",9
"2399","WV",1997,"Fatalities",8
"2400","WY",1997,"Fatalities",3
"2401","AK",1998,"Fatalities",0
"2402","AL",1998,"Fatalities",50
"2403","AR",1998,"Fatalities",10
"2404","AZ",1998,"Fatalities",7
"2405","CA",1998,"Fatalities",43
"2406","CO",1998,"Fatalities",10
"2407","CT",1998,"Fatalities",1
"2408","DE",1998,"Fatalities",2
"2409","FL",1998,"Fatalities",75
"2410","GA",1998,"Fatalities",21
"2411","HI",1998,"Fatalities",0
"2412","IA",1998,"Fatalities",3
"2413","ID",1998,"Fatalities",2
"2414","IL",1998,"Fatalities",21
"2415","IN",1998,"Fatalities",7
"2416","KS",1998,"Fatalities",12
"2417","KY",1998,"Fatalities",12
"2418","LA",1998,"Fatalities",27
"2419","MA",1998,"Fatalities",5
"2420","MD",1998,"Fatalities",4
"2421","ME",1998,"Fatalities",5
"2422","MI",1998,"Fatalities",12
"2423","MN",1998,"Fatalities",7
"2424","MO",1998,"Fatalities",18
"2425","MS",1998,"Fatalities",4
"2426","MT",1998,"Fatalities",6
"2427","NC",1998,"Fatalities",13
"2428","ND",1998,"Fatalities",0
"2429","NE",1998,"Fatalities",3
"2430","NH",1998,"Fatalities",1
"2431","NJ",1998,"Fatalities",3
"2432","NM",1998,"Fatalities",2
"2433","NV",1998,"Fatalities",2
"2434","NY",1998,"Fatalities",16
"2435","OH",1998,"Fatalities",13
"2436","OK",1998,"Fatalities",29
"2437","OR",1998,"Fatalities",10
"2438","PA",1998,"Fatalities",20
"2439","RI",1998,"Fatalities",0
"2440","SC",1998,"Fatalities",11
"2441","SD",1998,"Fatalities",6
"2442","TN",1998,"Fatalities",21
"2443","TX",1998,"Fatalities",121
"2444","UT",1998,"Fatalities",13
"2445","VA",1998,"Fatalities",4
"2446","VT",1998,"Fatalities",0
"2447","WA",1998,"Fatalities",4
"2448","WI",1998,"Fatalities",9
"2449","WV",1998,"Fatalities",7
"2450","WY",1998,"Fatalities",2
"2451","AK",1999,"Fatalities",18
"2452","AL",1999,"Fatalities",11
"2453","AR",1999,"Fatalities",24
"2454","AZ",1999,"Fatalities",4
"2455","CA",1999,"Fatalities",32
"2456","CO",1999,"Fatalities",9
"2457","CT",1999,"Fatalities",1
"2458","DE",1999,"Fatalities",6
"2459","FL",1999,"Fatalities",15
"2460","GA",1999,"Fatalities",7
"2461","HI",1999,"Fatalities",2
"2462","IA",1999,"Fatalities",7
"2463","ID",1999,"Fatalities",0
"2464","IL",1999,"Fatalities",147
"2465","IN",1999,"Fatalities",7
"2466","KS",1999,"Fatalities",12
"2467","KY",1999,"Fatalities",3
"2468","LA",1999,"Fatalities",14
"2469","MA",1999,"Fatalities",3
"2470","MD",1999,"Fatalities",15
"2471","ME",1999,"Fatalities",1
"2472","MI",1999,"Fatalities",6
"2473","MN",1999,"Fatalities",2
"2474","MO",1999,"Fatalities",81
"2475","MS",1999,"Fatalities",4
"2476","MT",1999,"Fatalities",5
"2477","NC",1999,"Fatalities",48
"2478","ND",1999,"Fatalities",3
"2479","NE",1999,"Fatalities",9
"2480","NH",1999,"Fatalities",3
"2481","NJ",1999,"Fatalities",38
"2482","NM",1999,"Fatalities",8
"2483","NV",1999,"Fatalities",1
"2484","NY",1999,"Fatalities",39
"2485","OH",1999,"Fatalities",26
"2486","OK",1999,"Fatalities",55
"2487","OR",1999,"Fatalities",11
"2488","PA",1999,"Fatalities",101
"2489","RI",1999,"Fatalities",0
"2490","SC",1999,"Fatalities",21
"2491","SD",1999,"Fatalities",1
"2492","TN",1999,"Fatalities",15
"2493","TX",1999,"Fatalities",34
"2494","UT",1999,"Fatalities",5
"2495","VA",1999,"Fatalities",7
"2496","VT",1999,"Fatalities",2
"2497","WA",1999,"Fatalities",6
"2498","WI",1999,"Fatalities",17
"2499","WV",1999,"Fatalities",3
"2500","WY",1999,"Fatalities",6
"2501","AK",2000,"Fatalities",13
"2502","AL",2000,"Fatalities",21
"2503","AR",2000,"Fatalities",5
"2504","AZ",2000,"Fatalities",11
"2505","CA",2000,"Fatalities",42
"2506","CO",2000,"Fatalities",6
"2507","CT",2000,"Fatalities",2
"2508","DE",2000,"Fatalities",0
"2509","FL",2000,"Fatalities",17
"2510","GA",2000,"Fatalities",23
"2511","HI",2000,"Fatalities",0
"2512","IA",2000,"Fatalities",5
"2513","ID",2000,"Fatalities",1
"2514","IL",2000,"Fatalities",9
"2515","IN",2000,"Fatalities",3
"2516","KS",2000,"Fatalities",10
"2517","KY",2000,"Fatalities",7
"2518","LA",2000,"Fatalities",21
"2519","MA",2000,"Fatalities",1
"2520","MD",2000,"Fatalities",5
"2521","ME",2000,"Fatalities",1
"2522","MI",2000,"Fatalities",3
"2523","MN",2000,"Fatalities",3
"2524","MO",2000,"Fatalities",20
"2525","MS",2000,"Fatalities",22
"2526","MT",2000,"Fatalities",2
"2527","NC",2000,"Fatalities",9
"2528","ND",2000,"Fatalities",4
"2529","NE",2000,"Fatalities",0
"2530","NH",2000,"Fatalities",2
"2531","NJ",2000,"Fatalities",2
"2532","NM",2000,"Fatalities",0
"2533","NV",2000,"Fatalities",0
"2534","NY",2000,"Fatalities",8
"2535","OH",2000,"Fatalities",12
"2536","OK",2000,"Fatalities",6
"2537","OR",2000,"Fatalities",5
"2538","PA",2000,"Fatalities",24
"2539","RI",2000,"Fatalities",0
"2540","SC",2000,"Fatalities",13
"2541","SD",2000,"Fatalities",1
"2542","TN",2000,"Fatalities",5
"2543","TX",2000,"Fatalities",98
"2544","UT",2000,"Fatalities",8
"2545","VA",2000,"Fatalities",7
"2546","VT",2000,"Fatalities",1
"2547","WA",2000,"Fatalities",3
"2548","WI",2000,"Fatalities",3
"2549","WV",2000,"Fatalities",4
"2550","WY",2000,"Fatalities",4
"2551","AK",2001,"Fatalities",9
"2552","AL",2001,"Fatalities",14
"2553","AR",2001,"Fatalities",6
"2554","AZ",2001,"Fatalities",8
"2555","CA",2001,"Fatalities",17
"2556","CO",2001,"Fatalities",5
"2557","CT",2001,"Fatalities",0
"2558","DE",2001,"Fatalities",1
"2559","FL",2001,"Fatalities",40
"2560","GA",2001,"Fatalities",2
"2561","HI",2001,"Fatalities",1
"2562","IA",2001,"Fatalities",5
"2563","ID",2001,"Fatalities",1
"2564","IL",2001,"Fatalities",44
"2565","IN",2001,"Fatalities",7
"2566","KS",2001,"Fatalities",9
"2567","KY",2001,"Fatalities",4
"2568","LA",2001,"Fatalities",4
"2569","MA",2001,"Fatalities",1
"2570","MD",2001,"Fatalities",7
"2571","ME",2001,"Fatalities",2
"2572","MI",2001,"Fatalities",9
"2573","MN",2001,"Fatalities",14
"2574","MO",2001,"Fatalities",35
"2575","MS",2001,"Fatalities",17
"2576","MT",2001,"Fatalities",1
"2577","NC",2001,"Fatalities",2
"2578","ND",2001,"Fatalities",0
"2579","NE",2001,"Fatalities",2
"2580","NH",2001,"Fatalities",0
"2581","NJ",2001,"Fatalities",4
"2582","NM",2001,"Fatalities",2
"2583","NV",2001,"Fatalities",1
"2584","NY",2001,"Fatalities",9
"2585","OH",2001,"Fatalities",8
"2586","OK",2001,"Fatalities",12
"2587","OR",2001,"Fatalities",0
"2588","PA",2001,"Fatalities",31
"2589","RI",2001,"Fatalities",0
"2590","SC",2001,"Fatalities",4
"2591","SD",2001,"Fatalities",2
"2592","TN",2001,"Fatalities",6
"2593","TX",2001,"Fatalities",54
"2594","UT",2001,"Fatalities",12
"2595","VA",2001,"Fatalities",4
"2596","VT",2001,"Fatalities",1
"2597","WA",2001,"Fatalities",11
"2598","WI",2001,"Fatalities",13
"2599","WV",2001,"Fatalities",5
"2600","WY",2001,"Fatalities",2
"2601","AK",2002,"Fatalities",7
"2602","AL",2002,"Fatalities",21
"2603","AR",2002,"Fatalities",6
"2604","AZ",2002,"Fatalities",1
"2605","CA",2002,"Fatalities",25
"2606","CO",2002,"Fatalities",7
"2607","CT",2002,"Fatalities",5
"2608","DE",2002,"Fatalities",1
"2609","FL",2002,"Fatalities",30
"2610","GA",2002,"Fatalities",3
"2611","HI",2002,"Fatalities",2
"2612","IA",2002,"Fatalities",0
"2613","ID",2002,"Fatalities",8
"2614","IL",2002,"Fatalities",52
"2615","IN",2002,"Fatalities",0
"2616","KS",2002,"Fatalities",2
"2617","KY",2002,"Fatalities",2
"2618","LA",2002,"Fatalities",8
"2619","MA",2002,"Fatalities",0
"2620","MD",2002,"Fatalities",54
"2621","ME",2002,"Fatalities",2
"2622","MI",2002,"Fatalities",7
"2623","MN",2002,"Fatalities",1
"2624","MO",2002,"Fatalities",31
"2625","MS",2002,"Fatalities",7
"2626","MT",2002,"Fatalities",2
"2627","NC",2002,"Fatalities",8
"2628","ND",2002,"Fatalities",0
"2629","NE",2002,"Fatalities",4
"2630","NH",2002,"Fatalities",0
"2631","NJ",2002,"Fatalities",9
"2632","NM",2002,"Fatalities",0
"2633","NV",2002,"Fatalities",7
"2634","NY",2002,"Fatalities",14
"2635","OH",2002,"Fatalities",11
"2636","OK",2002,"Fatalities",1
"2637","OR",2002,"Fatalities",2
"2638","PA",2002,"Fatalities",49
"2639","RI",2002,"Fatalities",0
"2640","SC",2002,"Fatalities",5
"2641","SD",2002,"Fatalities",2
"2642","TN",2002,"Fatalities",25
"2643","TX",2002,"Fatalities",24
"2644","UT",2002,"Fatalities",11
"2645","VA",2002,"Fatalities",4
"2646","VT",2002,"Fatalities",1
"2647","WA",2002,"Fatalities",5
"2648","WI",2002,"Fatalities",16
"2649","WV",2002,"Fatalities",3
"2650","WY",2002,"Fatalities",1
"2651","AK",2003,"Fatalities",1
"2652","AL",2003,"Fatalities",4
"2653","AR",2003,"Fatalities",0
"2654","AZ",2003,"Fatalities",5
"2655","CA",2003,"Fatalities",56
"2656","CO",2003,"Fatalities",8
"2657","CT",2003,"Fatalities",0
"2658","DE",2003,"Fatalities",0
"2659","FL",2003,"Fatalities",51
"2660","GA",2003,"Fatalities",17
"2661","HI",2003,"Fatalities",3
"2662","IA",2003,"Fatalities",2
"2663","ID",2003,"Fatalities",4
"2664","IL",2003,"Fatalities",11
"2665","IN",2003,"Fatalities",5
"2666","KS",2003,"Fatalities",21
"2667","KY",2003,"Fatalities",8
"2668","LA",2003,"Fatalities",1
"2669","MA",2003,"Fatalities",1
"2670","MD",2003,"Fatalities",10
"2671","ME",2003,"Fatalities",1
"2672","MI",2003,"Fatalities",7
"2673","MN",2003,"Fatalities",1
"2674","MO",2003,"Fatalities",35
"2675","MS",2003,"Fatalities",2
"2676","MT",2003,"Fatalities",0
"2677","NC",2003,"Fatalities",15
"2678","ND",2003,"Fatalities",5
"2679","NE",2003,"Fatalities",4
"2680","NH",2003,"Fatalities",2
"2681","NJ",2003,"Fatalities",8
"2682","NM",2003,"Fatalities",2
"2683","NV",2003,"Fatalities",3
"2684","NY",2003,"Fatalities",15
"2685","OH",2003,"Fatalities",7
"2686","OK",2003,"Fatalities",5
"2687","OR",2003,"Fatalities",0
"2688","PA",2003,"Fatalities",21
"2689","RI",2003,"Fatalities",1
"2690","SC",2003,"Fatalities",1
"2691","SD",2003,"Fatalities",1
"2692","TN",2003,"Fatalities",20
"2693","TX",2003,"Fatalities",11
"2694","UT",2003,"Fatalities",14
"2695","VA",2003,"Fatalities",18
"2696","VT",2003,"Fatalities",1
"2697","WA",2003,"Fatalities",4
"2698","WI",2003,"Fatalities",2
"2699","WV",2003,"Fatalities",6
"2700","WY",2003,"Fatalities",4
"2701","AK",2004,"Fatalities",3
"2702","AL",2004,"Fatalities",5
"2703","AR",2004,"Fatalities",3
"2704","AZ",2004,"Fatalities",3
"2705","CA",2004,"Fatalities",18
"2706","CO",2004,"Fatalities",7
"2707","CT",2004,"Fatalities",0
"2708","DE",2004,"Fatalities",1
"2709","FL",2004,"Fatalities",61
"2710","GA",2004,"Fatalities",7
"2711","HI",2004,"Fatalities",4
"2712","IA",2004,"Fatalities",1
"2713","ID",2004,"Fatalities",6
"2714","IL",2004,"Fatalities",28
"2715","IN",2004,"Fatalities",6
"2716","KS",2004,"Fatalities",5
"2717","KY",2004,"Fatalities",7
"2718","LA",2004,"Fatalities",3
"2719","MA",2004,"Fatalities",1
"2720","MD",2004,"Fatalities",4
"2721","ME",2004,"Fatalities",0
"2722","MI",2004,"Fatalities",3
"2723","MN",2004,"Fatalities",1
"2724","MO",2004,"Fatalities",11
"2725","MS",2004,"Fatalities",6
"2726","MT",2004,"Fatalities",1
"2727","NC",2004,"Fatalities",23
"2728","ND",2004,"Fatalities",0
"2729","NE",2004,"Fatalities",5
"2730","NH",2004,"Fatalities",0
"2731","NJ",2004,"Fatalities",2
"2732","NM",2004,"Fatalities",0
"2733","NV",2004,"Fatalities",0
"2734","NY",2004,"Fatalities",7
"2735","OH",2004,"Fatalities",4
"2736","OK",2004,"Fatalities",4
"2737","OR",2004,"Fatalities",1
"2738","PA",2004,"Fatalities",20
"2739","RI",2004,"Fatalities",1
"2740","SC",2004,"Fatalities",9
"2741","SD",2004,"Fatalities",0
"2742","TN",2004,"Fatalities",5
"2743","TX",2004,"Fatalities",25
"2744","UT",2004,"Fatalities",4
"2745","VA",2004,"Fatalities",17
"2746","VT",2004,"Fatalities",3
"2747","WA",2004,"Fatalities",1
"2748","WI",2004,"Fatalities",3
"2749","WV",2004,"Fatalities",5
"2750","WY",2004,"Fatalities",0
"2751","AK",2005,"Fatalities",0
"2752","AL",2005,"Fatalities",8
"2753","AR",2005,"Fatalities",4
"2754","AZ",2005,"Fatalities",59
"2755","CA",2005,"Fatalities",25
"2756","CO",2005,"Fatalities",13
"2757","CT",2005,"Fatalities",3
"2758","DE",2005,"Fatalities",1
"2759","FL",2005,"Fatalities",31
"2760","GA",2005,"Fatalities",11
"2761","HI",2005,"Fatalities",1
"2762","IA",2005,"Fatalities",4
"2763","ID",2005,"Fatalities",2
"2764","IL",2005,"Fatalities",15
"2765","IN",2005,"Fatalities",29
"2766","KS",2005,"Fatalities",8
"2767","KY",2005,"Fatalities",4
"2768","LA",2005,"Fatalities",4
"2769","MA",2005,"Fatalities",0
"2770","MD",2005,"Fatalities",4
"2771","ME",2005,"Fatalities",1
"2772","MI",2005,"Fatalities",2
"2773","MN",2005,"Fatalities",5
"2774","MO",2005,"Fatalities",16
"2775","MS",2005,"Fatalities",21
"2776","MT",2005,"Fatalities",1
"2777","NC",2005,"Fatalities",9
"2778","ND",2005,"Fatalities",1
"2779","NE",2005,"Fatalities",2
"2780","NH",2005,"Fatalities",4
"2781","NJ",2005,"Fatalities",9
"2782","NM",2005,"Fatalities",1
"2783","NV",2005,"Fatalities",2
"2784","NY",2005,"Fatalities",8
"2785","OH",2005,"Fatalities",6
"2786","OK",2005,"Fatalities",6
"2787","OR",2005,"Fatalities",2
"2788","PA",2005,"Fatalities",35
"2789","RI",2005,"Fatalities",0
"2790","SC",2005,"Fatalities",6
"2791","SD",2005,"Fatalities",1
"2792","TN",2005,"Fatalities",4
"2793","TX",2005,"Fatalities",67
"2794","UT",2005,"Fatalities",8
"2795","VA",2005,"Fatalities",2
"2796","VT",2005,"Fatalities",0
"2797","WA",2005,"Fatalities",4
"2798","WI",2005,"Fatalities",2
"2799","WV",2005,"Fatalities",5
"2800","WY",2005,"Fatalities",3
"2801","AK",2006,"Fatalities",2
"2802","AL",2006,"Fatalities",2
"2803","AR",2006,"Fatalities",6
"2804","AZ",2006,"Fatalities",21
"2805","CA",2006,"Fatalities",83
"2806","CO",2006,"Fatalities",9
"2807","CT",2006,"Fatalities",1
"2808","DE",2006,"Fatalities",2
"2809","FL",2006,"Fatalities",21
"2810","GA",2006,"Fatalities",2
"2811","HI",2006,"Fatalities",7
"2812","IA",2006,"Fatalities",2
"2813","ID",2006,"Fatalities",1
"2814","IL",2006,"Fatalities",52
"2815","IN",2006,"Fatalities",6
"2816","KS",2006,"Fatalities",5
"2817","KY",2006,"Fatalities",8
"2818","LA",2006,"Fatalities",9
"2819","MA",2006,"Fatalities",6
"2820","MD",2006,"Fatalities",15
"2821","ME",2006,"Fatalities",2
"2822","MI",2006,"Fatalities",5
"2823","MN",2006,"Fatalities",2
"2824","MO",2006,"Fatalities",33
"2825","MS",2006,"Fatalities",4
"2826","MT",2006,"Fatalities",3
"2827","NC",2006,"Fatalities",15
"2828","ND",2006,"Fatalities",2
"2829","NE",2006,"Fatalities",1
"2830","NH",2006,"Fatalities",1
"2831","NJ",2006,"Fatalities",10
"2832","NM",2006,"Fatalities",3
"2833","NV",2006,"Fatalities",4
"2834","NY",2006,"Fatalities",49
"2835","OH",2006,"Fatalities",6
"2836","OK",2006,"Fatalities",26
"2837","OR",2006,"Fatalities",8
"2838","PA",2006,"Fatalities",46
"2839","RI",2006,"Fatalities",0
"2840","SC",2006,"Fatalities",6
"2841","SD",2006,"Fatalities",2
"2842","TN",2006,"Fatalities",40
"2843","TX",2006,"Fatalities",33
"2844","UT",2006,"Fatalities",4
"2845","VA",2006,"Fatalities",3
"2846","VT",2006,"Fatalities",0
"2847","WA",2006,"Fatalities",10
"2848","WI",2006,"Fatalities",5
"2849","WV",2006,"Fatalities",0
"2850","WY",2006,"Fatalities",3
"2851","AK",2007,"Fatalities",0
"2852","AL",2007,"Fatalities",19
"2853","AR",2007,"Fatalities",6
"2854","AZ",2007,"Fatalities",7
"2855","CA",2007,"Fatalities",27
"2856","CO",2007,"Fatalities",7
"2857","CT",2007,"Fatalities",0
"2858","DE",2007,"Fatalities",4
"2859","FL",2007,"Fatalities",51
"2860","GA",2007,"Fatalities",15
"2861","HI",2007,"Fatalities",0
"2862","IA",2007,"Fatalities",1
"2863","ID",2007,"Fatalities",1
"2864","IL",2007,"Fatalities",26
"2865","IN",2007,"Fatalities",4
"2866","KS",2007,"Fatalities",17
"2867","KY",2007,"Fatalities",4
"2868","LA",2007,"Fatalities",4
"2869","MA",2007,"Fatalities",1
"2870","MD",2007,"Fatalities",2
"2871","ME",2007,"Fatalities",3
"2872","MI",2007,"Fatalities",8
"2873","MN",2007,"Fatalities",10
"2874","MO",2007,"Fatalities",9
"2875","MS",2007,"Fatalities",0
"2876","MT",2007,"Fatalities",1
"2877","NC",2007,"Fatalities",8
"2878","ND",2007,"Fatalities",1
"2879","NE",2007,"Fatalities",0
"2880","NH",2007,"Fatalities",0
"2881","NJ",2007,"Fatalities",8
"2882","NM",2007,"Fatalities",2
"2883","NV",2007,"Fatalities",14
"2884","NY",2007,"Fatalities",11
"2885","OH",2007,"Fatalities",2
"2886","OK",2007,"Fatalities",10
"2887","OR",2007,"Fatalities",4
"2888","PA",2007,"Fatalities",2
"2889","RI",2007,"Fatalities",0
"2890","SC",2007,"Fatalities",9
"2891","SD",2007,"Fatalities",0
"2892","TN",2007,"Fatalities",3
"2893","TX",2007,"Fatalities",71
"2894","UT",2007,"Fatalities",17
"2895","VA",2007,"Fatalities",2
"2896","VT",2007,"Fatalities",0
"2897","WA",2007,"Fatalities",14
"2898","WI",2007,"Fatalities",3
"2899","WV",2007,"Fatalities",1
"2900","WY",2007,"Fatalities",1
"2901","AK",2008,"Fatalities",3
"2902","AL",2008,"Fatalities",15
"2903","AR",2008,"Fatalities",33
"2904","AZ",2008,"Fatalities",9
"2905","CA",2008,"Fatalities",13
"2906","CO",2008,"Fatalities",11
"2907","CT",2008,"Fatalities",2
"2908","DE",2008,"Fatalities",0
"2909","FL",2008,"Fatalities",27
"2910","GA",2008,"Fatalities",7
"2911","HI",2008,"Fatalities",0
"2912","IA",2008,"Fatalities",18
"2913","ID",2008,"Fatalities",2
"2914","IL",2008,"Fatalities",33
"2915","IN",2008,"Fatalities",29
"2916","KS",2008,"Fatalities",8
"2917","KY",2008,"Fatalities",9
"2918","LA",2008,"Fatalities",10
"2919","MA",2008,"Fatalities",2
"2920","MD",2008,"Fatalities",1
"2921","ME",2008,"Fatalities",2
"2922","MI",2008,"Fatalities",8
"2923","MN",2008,"Fatalities",3
"2924","MO",2008,"Fatalities",29
"2925","MS",2008,"Fatalities",3
"2926","MT",2008,"Fatalities",5
"2927","NC",2008,"Fatalities",12
"2928","ND",2008,"Fatalities",1
"2929","NE",2008,"Fatalities",0
"2930","NH",2008,"Fatalities",2
"2931","NJ",2008,"Fatalities",10
"2932","NM",2008,"Fatalities",7
"2933","NV",2008,"Fatalities",22
"2934","NY",2008,"Fatalities",3
"2935","OH",2008,"Fatalities",9
"2936","OK",2008,"Fatalities",11
"2937","OR",2008,"Fatalities",4
"2938","PA",2008,"Fatalities",5
"2939","RI",2008,"Fatalities",4
"2940","SC",2008,"Fatalities",8
"2941","SD",2008,"Fatalities",0
"2942","TN",2008,"Fatalities",36
"2943","TX",2008,"Fatalities",33
"2944","UT",2008,"Fatalities",6
"2945","VA",2008,"Fatalities",4
"2946","VT",2008,"Fatalities",0
"2947","WA",2008,"Fatalities",7
"2948","WI",2008,"Fatalities",2
"2949","WV",2008,"Fatalities",0
"2950","WY",2008,"Fatalities",6
"2951","AK",2009,"Fatalities",2
"2952","AL",2009,"Fatalities",6
"2953","AR",2009,"Fatalities",10
"2954","AZ",2009,"Fatalities",2
"2955","CA",2009,"Fatalities",21
"2956","CO",2009,"Fatalities",3
"2957","CT",2009,"Fatalities",3
"2958","DE",2009,"Fatalities",0
"2959","FL",2009,"Fatalities",35
"2960","GA",2009,"Fatalities",11
"2961","HI",2009,"Fatalities",3
"2962","IA",2009,"Fatalities",1
"2963","ID",2009,"Fatalities",3
"2964","IL",2009,"Fatalities",24
"2965","IN",2009,"Fatalities",1
"2966","KS",2009,"Fatalities",7
"2967","KY",2009,"Fatalities",6
"2968","LA",2009,"Fatalities",7
"2969","MA",2009,"Fatalities",1
"2970","MD",2009,"Fatalities",1
"2971","ME",2009,"Fatalities",1
"2972","MI",2009,"Fatalities",4
"2973","MN",2009,"Fatalities",7
"2974","MO",2009,"Fatalities",13
"2975","MS",2009,"Fatalities",5
"2976","MT",2009,"Fatalities",5
"2977","NC",2009,"Fatalities",12
"2978","ND",2009,"Fatalities",0
"2979","NE",2009,"Fatalities",0
"2980","NH",2009,"Fatalities",1
"2981","NJ",2009,"Fatalities",3
"2982","NM",2009,"Fatalities",5
"2983","NV",2009,"Fatalities",6
"2984","NY",2009,"Fatalities",10
"2985","OH",2009,"Fatalities",4
"2986","OK",2009,"Fatalities",9
"2987","OR",2009,"Fatalities",4
"2988","PA",2009,"Fatalities",2
"2989","RI",2009,"Fatalities",0
"2990","SC",2009,"Fatalities",5
"2991","SD",2009,"Fatalities",0
"2992","TN",2009,"Fatalities",13
"2993","TX",2009,"Fatalities",22
"2994","UT",2009,"Fatalities",0
"2995","VA",2009,"Fatalities",2
"2996","VT",2009,"Fatalities",0
"2997","WA",2009,"Fatalities",3
"2998","WI",2009,"Fatalities",5
"2999","WV",2009,"Fatalities",2
"3000","WY",2009,"Fatalities",4
"3001","AK",2010,"Fatalities",0
"3002","AL",2010,"Fatalities",8
"3003","AR",2010,"Fatalities",32
"3004","AZ",2010,"Fatalities",4
"3005","CA",2010,"Fatalities",17
"3006","CO",2010,"Fatalities",9
"3007","CT",2010,"Fatalities",3
"3008","DE",2010,"Fatalities",2
"3009","FL",2010,"Fatalities",21
"3010","GA",2010,"Fatalities",6
"3011","HI",2010,"Fatalities",0
"3012","IA",2010,"Fatalities",1
"3013","ID",2010,"Fatalities",5
"3014","IL",2010,"Fatalities",25
"3015","IN",2010,"Fatalities",9
"3016","KS",2010,"Fatalities",0
"3017","KY",2010,"Fatalities",10
"3018","LA",2010,"Fatalities",6
"3019","MA",2010,"Fatalities",2
"3020","MD",2010,"Fatalities",6
"3021","ME",2010,"Fatalities",0
"3022","MI",2010,"Fatalities",11
"3023","MN",2010,"Fatalities",3
"3024","MO",2010,"Fatalities",13
"3025","MS",2010,"Fatalities",18
"3026","MT",2010,"Fatalities",4
"3027","NC",2010,"Fatalities",17
"3028","ND",2010,"Fatalities",1
"3029","NE",2010,"Fatalities",2
"3030","NH",2010,"Fatalities",1
"3031","NJ",2010,"Fatalities",7
"3032","NM",2010,"Fatalities",2
"3033","NV",2010,"Fatalities",17
"3034","NY",2010,"Fatalities",19
"3035","OH",2010,"Fatalities",16
"3036","OK",2010,"Fatalities",6
"3037","OR",2010,"Fatalities",4
"3038","PA",2010,"Fatalities",9
"3039","RI",2010,"Fatalities",0
"3040","SC",2010,"Fatalities",2
"3041","SD",2010,"Fatalities",0
"3042","TN",2010,"Fatalities",46
"3043","TX",2010,"Fatalities",26
"3044","UT",2010,"Fatalities",5
"3045","VA",2010,"Fatalities",1
"3046","VT",2010,"Fatalities",0
"3047","WA",2010,"Fatalities",3
"3048","WI",2010,"Fatalities",3
"3049","WV",2010,"Fatalities",5
"3050","WY",2010,"Fatalities",5
"3051","AK",2011,"Fatalities",2
"3052","AL",2011,"Fatalities",246
