"","State","Year","Event","Value"
"152","AL",1953,"Fatalities",16
"153","AR",1953,"Fatalities",0
"154","AZ",1953,"Fatalities",NA
"155","CA",1953,"Fatalities",0
"156","CO",1953,"Fatalities",0
"157","CT",1953,"Fatalities",NA
"158","DE",1953,"Fatalities",NA
"159","FL",1953,"Fatalities",0
"160","GA",1953,"Fatalities",22
"161","HI",1953,"Fatalities",NA
"162","IA",1953,"Fatalities",2
"163","ID",1953,"Fatalities",NA
"164","IL",1953,"Fatalities",1
"165","IN",1953,"Fatalities",2
"166","KS",1953,"Fatalities",0
"167","KY",1953,"Fatalities",NA
"168","LA",1953,"Fatalities",13
"169","MA",1953,"Fatalities",90
"170","MD",1953,"Fatalities",0
"171","ME",1953,"Fatalities",0
"172","MI",1953,"Fatalities",127
"173","MN",1953,"Fatalities",9
"174","MO",1953,"Fatalities",0
"175","MS",1953,"Fatalities",39
"176","MT",1953,"Fatalities",0
"177","NC",1953,"Fatalities",0
"178","ND",1953,"Fatalities",2
"179","NE",1953,"Fatalities",16
"180","NH",1953,"Fatalities",0
"181","NJ",1953,"Fatalities",NA
"182","NM",1953,"Fatalities",NA
"183","NV",1953,"Fatalities",NA
"184","NY",1953,"Fatalities",NA
"185","OH",1953,"Fatalities",17
"186","OK",1953,"Fatalities",5
"187","OR",1953,"Fatalities",NA
"188","PA",1953,"Fatalities",0
"189","RI",1953,"Fatalities",NA
"190","SC",1953,"Fatalities",0
"191","SD",1953,"Fatalities",0
"192","TN",1953,"Fatalities",4
"193","TX",1953,"Fatalities",150
"194","UT",1953,"Fatalities",0
"195","VA",1953,"Fatalities",0
"196","VT",1953,"Fatalities",0
"197","WA",1953,"Fatalities",NA
"198","WI",1953,"Fatalities",4
"199","WV",1953,"Fatalities",NA
"200","WY",1953,"Fatalities",0
"201","AK",1954,"Fatalities",NA
"202","AL",1954,"Fatalities",0
"203","AR",1954,"Fatalities",1
"204","AZ",1954,"Fatalities",0
"205","CA",1954,"Fatalities",0
"206","CO",1954,"Fatalities",0
"207","CT",1954,"Fatalities",0
"208","DE",1954,"Fatalities",0
"209","FL",1954,"Fatalities",2
"210","GA",1954,"Fatalities",10
"211","HI",1954,"Fatalities",NA
"212","IA",1954,"Fatalities",1
"213","ID",1954,"Fatalities",0
"214","IL",1954,"Fatalities",1
"215","IN",1954,"Fatalities",2
"216","KS",1954,"Fatalities",0
"217","KY",1954,"Fatalities",0
